Age,Gender,Education Level,Job Title,Years of Experience,Salary
52.0,0,5,27,29.0,194778.0
26.0,1,1,22,5.0,85000.0
23.0,0,1,26,1.0,50000.0
28.0,1,1,17,3.0,60000.0
28.0,1,1,26,3.0,70000.0
45.0,1,4,15,20.0,204000.0
32.0,1,4,18,7.0,110000.0
39.0,0,4,15,14.0,170000.0
43.0,0,5,23,14.0,190000.0
30.0,0,1,13,5.0,95000.0
30.0,0,5,3,7.0,185000.0
27.0,1,0,2,2.0,110000.0
33.0,0,3,18,11.0,198000.0
33.0,1,2,11,1.0,25000.0
45.0,1,4,5,14.0,140000.0
29.0,1,1,12,4.0,70000.0
28.0,0,0,26,5.0,160000.0
46.0,1,1,24,22.0,174324.0
26.0,1,0,2,3.0,120000.0
28.0,1,1,26,4.0,75000.0
36.0,1,4,0,9.0,150000.0
29.0,0,0,26,4.0,140000.0
28.0,0,4,0,3.0,90000.0
24.0,1,5,27,1.0,106686.0
53.0,1,3,6,25.0,180000.0
41.0,1,5,23,12.0,165000.0
29.0,1,0,26,4.0,140000.0
28.0,1,1,26,4.0,75000.0
27.0,1,2,7,3.0,45000.0
51.0,1,5,3,24.0,240000.0
46.0,1,4,15,14.0,140000.0
28.0,0,5,6,6.0,105000.0
30.0,0,5,3,7.0,185000.0
33.0,0,4,9,9.0,136533.0
35.0,1,5,22,8.0,80000.0
26.0,1,1,8,2.0,70000.0
38.0,1,4,14,14.0,195000.0
40.0,0,1,7,16.0,215000.0
34.0,0,5,19,10.0,150000.0
36.0,0,5,20,13.0,185000.0
40.0,0,4,13,12.0,122000.0
41.0,0,5,23,11.0,165000.0
30.0,0,1,13,5.0,90000.0
27.0,1,1,8,2.0,65000.0
30.0,0,4,9,6.0,110707.0
49.0,1,5,23,17.0,195000.0
27.0,1,2,11,2.0,35000.0
41.0,1,1,1,12.0,120000.0
46.0,0,1,0,19.0,150729.0
26.0,1,1,17,1.0,50000.0
25.0,0,4,0,2.0,75000.0
28.0,1,0,26,3.0,125000.0
35.0,0,4,13,8.0,85000.0
24.0,1,0,2,1.0,90000.0
39.0,1,1,16,13.0,127000.0
41.0,1,1,1,12.0,120000.0
42.0,1,4,27,13.0,170000.0
42.0,1,4,18,14.0,180000.0
33.0,1,1,16,7.0,85000.0
41.0,0,5,4,16.0,200000.0
28.0,0,0,26,5.0,160000.0
43.0,1,4,9,21.0,187951.0
35.0,1,1,9,8.0,145000.0
33.0,0,1,9,6.0,115000.0
31.0,0,5,3,8.0,140000.0
29.0,0,3,3,6.0,180000.0
25.0,1,1,18,1.0,60000.0
47.0,1,5,3,19.0,190000.0
27.0,0,3,3,4.0,150000.0
52.0,1,5,27,23.0,161568.0
31.0,0,2,11,1.0,25000.0
40.0,0,1,7,16.0,215000.0
30.0,1,1,0,5.0,100000.0
39.0,0,1,7,16.0,200000.0
34.0,1,5,19,11.0,160000.0
32.0,0,1,6,8.0,80000.0
29.0,1,1,12,3.0,65000.0
28.0,0,4,15,7.0,110000.0
38.0,1,1,0,14.0,136449.0
27.0,0,1,26,3.0,70000.0
27.0,1,1,26,3.0,80000.0
49.0,1,4,15,23.0,228000.0
45.0,1,5,23,16.0,185000.0
33.0,0,1,10,6.0,75000.0
44.0,1,5,3,17.0,168000.0
30.0,0,1,13,5.0,95000.0
39.0,0,4,15,12.0,150000.0
25.0,1,1,18,1.0,60000.0
42.0,1,4,27,13.0,170000.0
42.0,1,5,3,14.0,140000.0
30.0,1,1,28,5.0,70000.0
33.0,1,3,17,6.0,90000.0
55.0,0,5,27,29.0,190543.0
29.0,1,1,23,6.0,88552.0
29.0,0,3,3,6.0,180000.0
24.0,1,0,2,1.0,90000.0
50.0,0,5,27,16.0,190000.0
32.0,1,4,23,8.0,121454.0
24.0,0,1,0,1.0,60000.0
39.0,0,4,24,14.0,135853.0
32.0,1,1,16,6.0,90000.0
28.0,1,0,26,5.0,160000.0
31.0,0,5,20,8.0,120000.0
36.0,0,5,15,9.0,95000.0
26.0,1,1,17,1.0,50000.0
37.0,1,4,15,11.0,110000.0
27.0,1,1,12,2.0,50000.0
29.0,1,1,12,4.0,75000.0
45.0,1,5,23,16.0,185000.0
33.0,0,1,10,8.0,95000.0
45.0,1,1,7,21.0,250000.0
27.0,0,4,9,3.0,100000.0
26.0,1,2,11,2.0,30000.0
54.0,1,1,9,25.0,179756.0
29.0,0,4,0,3.0,90000.0
30.0,0,1,26,5.0,90000.0
49.0,0,1,0,19.0,120177.0
33.0,0,1,10,8.0,95000.0
50.0,1,5,27,17.0,195000.0
37.0,1,5,5,12.0,120000.0
32.0,0,1,6,8.0,80000.0
31.0,1,0,2,9.0,195000.0
33.0,0,3,18,11.0,198000.0
43.0,1,4,9,20.0,167924.0
44.0,1,5,3,18.0,182000.0
30.0,0,1,13,4.0,58000.0
29.0,1,1,17,3.0,60000.0
35.0,0,1,18,8.0,165000.0
29.0,0,3,3,6.0,180000.0
46.0,0,5,23,16.0,185000.0
29.0,0,0,26,4.0,140000.0
30.0,1,1,25,6.0,85000.0
45.0,1,4,27,19.0,163780.0
26.0,1,1,25,2.0,60000.0
32.0,1,1,16,6.0,90000.0
48.0,0,4,24,24.0,184006.0
30.0,1,1,16,5.0,70000.0
39.0,0,1,7,16.0,210000.0
32.0,0,4,24,7.0,100000.0
43.0,1,4,24,19.0,185000.0
27.0,1,2,11,2.0,35000.0
40.0,1,5,3,15.0,150000.0
31.0,1,1,9,6.0,115000.0
30.0,1,4,9,5.0,105000.0
27.0,1,1,26,2.0,70000.0
31.0,0,4,7,8.0,120000.0
35.0,1,4,9,9.0,131547.0
32.0,0,5,3,9.0,145000.0
25.0,0,1,8,1.0,55000.0
32.0,0,0,3,9.0,185000.0
31.0,1,4,3,7.0,130000.0
